评论,score
额 鄙人有幸在黄州一家专门做东坡肉的酒店兼职过 比图片还长两倍的松鼠桂鱼 一道138 这个只能说是专门糊弄游客的吧,0.17493167655876074
预制菜没有问题 拿预制菜的成本卖现做的价格才是问题,0.0073038378776529855
但是很多人抵制说不健康 我寻思着没有预制菜的时候他们也说不健康我们普遍的抵制是因为预制菜给我卖新鲜菜的价格,0.45206853407853265
我现在都是网上买一堆预制菜放在冰箱里 买了个饭盒 每天往饭盒里一倒就去上班 已经一年没点过外卖了 贼省钱 而且我认为预制菜比大多数外卖要干净,0.00012978630156523785
逗芽包子 得有知情权 我必须知道自己买的是预制菜,0.03447549418089224
要是清楚说自己是预制菜 卖的便宜点 店里也干净 估计我真会买 毕竟学校和公司连煮料理包的地方都没有,0.12650726528977285
好料理包不比现做的难吃和脏 就怕是垃圾料理包,0.07350284997218304
舞麟阁 预制菜要是管理严格点的话比现做的干净多了 我在后厨待过 也就大牌子才会卫生合格 但大部分外卖都是小牌子杂牌子,0.012546893274981707
贵的预制菜还是可以偶尔吃一下 但是像15块16包还有梅菜扣肉宫保鸡丁这些预制菜真的别吃 以前图方便图便宜买过一次 吃了两天咽喉炎了 外卖也尽量不要点看起来就像预制菜名字的店和菜 红烧肉台湾卤肉饭辣子鸡鱼香肉丝这些简直是外卖预制菜的重灾区,0.0007521054516587133
还有美团的小碗菜店家 百分之八十都是预制菜 一小碗脆皮手撕鸡卖13 吃起来像一两块一包的预制菜 点小碗菜的外卖要慎重,0.00016544449926092497
其他地方我不知道 我送外卖的 至少我这里能看到的 基本上没有预制菜的10 都没有 不论小碗菜还是什么的 基本都是提前炒的一锅出 至于成本 我就说一点你就清楚 外卖店食材量可以自己控制的就视频里同款菜 板栗鸡 我们这里外卖店就是一勺土豆鸡块 再加2 3个板栗鸡块给个4 5块 还都是有骨头的 我其实不介意预制菜的 视频里的龙虾尾 我就自己买过吃 某宝销量很高 味道确实不错 相比外卖店自己做 其实有厂家能溯源的预制菜 更容易监管,0.0007412441483434229
